spkt,spkid
-3.2189666666666668,3825
-3.218966666666665,5466
-3.2189333333333323,3117
-3.218899999999998,5422
-3.2188666666666634,2444
-3.2188333333333325,4674
-3.218833333333322,2151
-3.2188000000000017,2473
-3.218766666666667,4200
-3.21876666666666,2716
-3.2186333333333312,3357
-3.2186000000000003,986
-3.218599999999995,2514
-3.218599999999995,5431
-3.2185666666666677,3163
-3.2185666666666677,3363
-3.2185333333333332,2367
-3.2185333333333332,3683
-3.2185333333333332,4275
-3.218533333333326,1992
-3.218466666666668,2432
-3.2184666666666644,2014
-3.2184666666666644,3437
-3.2184666666666644,4249
-3.21843333333333,4022
-3.218399999999999,2775
-3.2183666666666646,3977
-3.218366666666661,1282
-3.2183333333333373,4514
-3.2182666666666684,3835
-3.2182666666666666,969
-3.218200000000003,3165
-3.2181666666666686,1343
-3.218166666666665,3981
-3.2181666666666615,4238
-3.2181666666666615,5257
-3.218133333333334,721
-3.218133333333334,5426
-3.218033333333338,4720
-3.218,956
-3.218,4496
-3.217966666666655,2306
-3.2179,3149
-3.2178666666666658,2050
-3.2178666666666658,2451
-3.217866666666662,5177
-3.217766666666666,4859
-3.2177666666666624,4126
-3.2177333333333387,3823
-3.2177000000000007,2688
-3.2176666666666627,699
-3.217633333333333,2616
-3.2175999999999974,2273
-3.2175999999999974,2697
-3.217533333333332,2398
-3.2175,2655
-3.21746666666661,4099
-3.2174333333333323,714
-3.2173666666666634,645
-3.2173,3335
-3.2172999999999945,3152
-3.2172666666666654,5138
-3.2172666666666636,1935
-3.2172333333333327,2363
-3.2172333333333327,3978
-3.2172333333333114,26
-3.2171999999999983,3633
-3.217166666666664,4278
-3.217100000000002,3518
-3.2170999999999985,5156
-3.217099999999995,2753
-3.217099999999995,4259
-3.217033333333333,3826
-3.2169999999999987,4131
-3.2169333333333334,3632
-3.2169333333333325,3107
-3.21693333333333,2029
-3.216899999999999,2457
-3.216899999999999,5134
-3.216866666666668,4281
-3.21683333333333,4224
-3.216799999999999,4661
-3.216799999999992,244
-3.216799999999992,4291
-3.216766666666672,2827
-3.216766666666615,2233
-3.2167333333333334,5119
-3.216699999999996,4148
-3.2166333333333377,2455
-3.216633333333334,748
-3.2165999999999997,987
-3.2165999999999997,1244
-3.2165999999999997,3176
-3.216566666666667,5346
-3.216566666666666,3876
-3.2165666666666652,5431
-3.2164999999999964,2006
-3.216466666666662,1122
-3.216466666666662,4011
-3.2164333333333417,2185
-3.216433333333338,4680
-3.2164,4867
-3.2163666666666675,5164
-3.216366666666664,982
-3.216333333333333,5359
-3.2163333333333313,2698
-3.2163000000000004,2702
-3.2162666666666695,3187
-3.2162666666666624,2022
-3.2162333333333315,5464
-3.216166666666666,724
-3.2161333333333335,3893
-3.2161333333333335,5118
-3.216099999999999,2792
-3.2160333333333284,2094
-3.215933333333332,4461
-3.215933333333325,4644
-3.2158999999999995,3069
-3.2158999999999978,687
-3.215866666666667,3899
-3.215833333333336,286
-3.2158333333333218,2
-3.215799999999998,666
